id_season,player_id,season_name,country,championship_name,player_code,player_href,attacking_overall__apps,attacking_overall__mins,attacking_overall__goals,attacking_overall__xg,attacking_overall__goals_vs_xg,attacking_overall__shots,attacking_overall__sot,attacking_overall__conv_pct,attacking_overall__xg_per_shot,attacking_non_penalty__goals,attacking_non_penalty__xg,attacking_non_penalty__goals_vs_xg,attacking_non_penalty__shots,attacking_non_penalty__sot,attacking_non_penalty__conv_pct,attacking_non_penalty__xg_per_shot,passing_overall__open_play_passes__total,passing_overall__open_play_passes__successful,passing_overall__open_play_passes__pct,passing_overall__in_final_third__total,passing_overall__in_final_third__successful,passing_overall__in_final_third__pct,passing_overall__crosses__total,passing_overall__crosses__successful,passing_overall__crosses__pct,passing_overall__through_balls,passing_chance creation__assists__total,passing_chance creation__assists__op,passing_chance creation__chances_created__total,passing_chance creation__chances_created__op,passing_chance creation__xa__total,passing_chance creation__xa__op,defending_overall__tackles,defending_overall__interceptions,defending_overall__pos_won,defending_overall__blocks,defending_overall__clearances,defending_overall__ground_duels__total,defending_overall__ground_duels__won,defending_overall__ground_duels__pct,defending_overall__aerial_duels__total,defending_overall__aerial_duels__won,defending_overall__aerial_duels__pct,defending_discipline__yellows,defending_discipline__reds,defending_discipline__fouls,defending_discipline__pens,carrying__all_carries__total,carrying__all_carries__distance_(m),carrying__all_carries__avg_(m),carrying__progressive__total,carrying__progressive__distance_(m),carrying__progressive__avg_(m),carrying__ended_with__shot,carrying__ended_with__goal,carrying__ended_with__chance,carrying__ended_with__assist,dob,age,current_club,affiliation,position,goalkeeping__apps,goalkeeping__mins,goalkeeping__goals_conceded,goalkeeping__saves_made,goalkeeping__save_pct,goalkeeping__xgot_conceded,goalkeeping__goals_prevented,goalkeeping__gp_rate
1,609640,2025/26,France,Ligue 1,mathis amougou,/football/player/sc-609640/mathis-amougou,10.0,268.0,0.0,0.06,-0.06,0.67,0.34,0.0,0.09,0.0,0.06,-0.06,0.67,0.34,0.0,0.09,49.37,45.67,92.5,11.75,11.42,97.1,0.0,0.0,0.0,0.34,0.0,0.0,0.67,0.67,0.04,0.04,3.36,0.34,4.7,0.34,0.34,8.4,5.04,60.0,0.0,0.0,0.0,0.34,0.0,0.67,0.0,13.43,129.5,9.6,7.39,70.0,3.2,0.0,0.0,0.34,0.0,"January 18, 2006",20.0,Strasbourg,France,Midfielder,,,,,,,,
1,451017,2025/26,France,Ligue 1,giorgi tsitaishvili,/football/player/sc-451017/giorgi-tsitaishvili,31.0,2277.0,0.12,0.06,0.06,1.15,0.32,10.34,0.05,0.12,0.06,0.06,1.15,0.32,10.34,0.05,27.08,21.26,78.5,9.33,6.64,71.2,4.78,0.91,19.0,0.08,0.08,0.08,1.62,1.3,0.18,0.16,0.75,0.51,3.08,0.08,1.23,7.19,3.6,50.0,0.51,0.24,46.2,0.08,0.0,0.83,0.0,12.73,165.1,13.0,8.18,99.0,0.5,0.59,0.12,0.55,0.04,"November 18, 2000",25.0,Metz,Georgia,Attacker,,,,,,,,
1,628017,2025/26,France,Ligue 1,yanis zouaoui,/football/player/sc-628017/yanis-zouaoui,28.0,2193.0,0.04,0.06,-0.02,0.66,0.21,6.25,0.09,0.0,0.02,-0.02,0.62,0.16,0.0,0.04,37.18,29.06,78.2,10.22,6.16,60.2,3.41,0.94,27.7,0.0,0.04,0.0,1.44,0.86,0.13,0.07,1.76,0.98,4.47,0.37,2.22,6.81,3.57,52.4,1.52,0.74,48.6,0.25,0.0,0.82,0.04,12.11,141.3,11.7,7.51,80.8,0.4,0.08,0.0,0.33,0.0,"April 28, 1998",27.0,Le Havre,France,Defender,,,,,,,,
1,606702,2025/26,France,Ligue 1,jeremy jacquet,/football/player/sc-606702/jeremy-jacquet,19.0,1673.0,0.0,0.06,-0.06,0.59,0.16,0.0,0.09,0.0,0.06,-0.06,0.59,0.16,0.0,0.09,57.88,52.34,90.4,7.75,5.7,73.6,0.0,0.0,0.0,0.05,0.0,0.0,0.48,0.48,0.03,0.03,1.45,1.02,4.14,0.86,4.9,3.82,2.37,62.0,2.64,1.99,75.5,0.22,0.05,1.08,0.05,14.52,145.1,10.0,8.34,88.0,0.6,0.0,0.0,0.11,0.0,"July 13, 2005",20.0,Rennes,France,Defender,,,,,,,,
1,616227,2025/26,France,Ligue 1,alexis vossah,/football/player/sc-616227/alexis-vossah,21.0,950.0,0.09,0.06,0.04,0.85,0.19,11.11,0.07,0.09,0.06,0.04,0.85,0.19,11.11,0.07,31.26,24.63,78.8,7.2,5.02,69.7,0.28,0.19,66.7,0.09,0.09,0.0,0.57,0.47,0.04,0.02,1.04,0.57,3.22,0.19,1.89,5.4,2.27,42.1,1.8,1.33,73.7,0.28,0.09,1.33,0.0,5.4,46.9,8.7,1.52,10.1,0.6,0.0,0.0,0.09,0.0,,,,,,,,,,,,,
1,179519,2025/26,France,Ligue 1,orel mangala,/football/player/sc-179519/orel-mangala,8.0,345.0,0.0,0.05,-0.05,1.04,0.26,0.0,0.05,0.0,0.05,-0.05,1.04,0.26,0.0,0.05,51.65,46.7,90.4,15.13,13.04,86.2,0.78,0.0,0.0,0.0,0.0,0.0,1.04,1.04,0.05,0.05,1.3,1.57,4.43,0.52,1.3,7.04,3.65,51.9,1.3,0.52,40.0,0.0,0.0,1.57,0.0,10.43,100.7,9.7,4.7,39.8,2.2,0.26,0.0,0.52,0.0,"March 18, 1998",28.0,Lyon,Belgium,Midfielder,,,,,,,,
1,115327,2025/26,France,Ligue 1,ruben aguilar,/football/player/sc-115327/ruben-aguilar,22.0,1565.0,0.12,0.05,0.06,0.75,0.17,15.38,0.07,0.12,0.05,0.06,0.75,0.17,15.38,0.07,45.32,38.3,84.5,16.68,12.77,76.5,4.83,0.86,17.9,0.06,0.12,0.12,1.32,1.15,0.13,0.13,2.07,1.44,4.43,0.58,1.5,5.69,3.05,53.5,1.27,0.75,59.1,0.17,0.06,1.32,0.0,10.52,108.4,10.3,6.9,69.0,0.6,0.29,0.0,0.23,0.06,"April 26, 1993",32.0,Lens,France,Defender,,,,,,,,
1,200958,2025/26,France,Ligue 1,assane diousse,/football/player/sc-200958/assane-diousse,14.0,205.0,0.0,0.05,-0.05,1.76,0.44,0.0,0.03,0.0,0.05,-0.05,1.76,0.44,0.0,0.03,61.9,56.63,91.5,19.76,18.0,91.1,1.76,0.44,25.0,0.44,0.0,0.0,1.32,0.88,0.13,0.11,2.2,2.2,8.78,0.88,1.76,8.34,3.95,47.4,3.07,0.88,28.6,1.32,0.0,3.07,0.0,15.8,162.7,10.3,7.46,76.2,4.5,0.0,0.0,0.0,0.0,"September 20, 1997",28.0,Auxerre,Senegal,Midfielder,,,,,,,,
1,213965,2025/26,France,Ligue 1,maxime lopez,/football/player/sc-213965/maxime-lopez,23.0,1867.0,0.0,0.05,-0.05,0.48,0.29,0.0,0.11,0.0,0.05,-0.05,0.48,0.29,0.0,0.11,79.3,71.15,89.7,21.45,16.97,79.1,1.83,0.53,28.9,0.19,0.14,0.14,1.98,1.59,0.21,0.19,1.11,0.48,4.58,0.14,0.48,5.11,1.93,37.7,0.34,0.1,28.6,0.43,0.0,1.25,0.0,18.75,205.0,10.9,8.87,86.5,0.5,0.29,0.0,0.43,0.05,,,,,,,,,,,,,
1,632582,2025/26,France,Ligue 1,seny koumbassa,/football/player/sc-632582/seny-koumbassa,8.0,440.0,0.2,0.05,0.15,0.61,0.2,33.33,0.08,0.2,0.05,0.15,0.61,0.2,33.33,0.08,32.93,28.02,85.1,2.25,1.02,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.61,3.68,0.41,6.34,2.45,1.84,75.0,1.02,0.61,60.0,0.0,0.0,0.2,0.0,9.0,83.2,9.2,3.89,25.5,1.3,0.2,0.0,0.0,0.0,"June 20, 2007",18.0,Toulouse,France,Defender,,,,,,,,
1,588181,2025/26,France,Ligue 1,tiago santos,/football/player/sc-588181/tiago-santos,14.0,703.0,0.0,0.05,-0.05,1.02,0.0,0.0,0.05,0.0,0.05,-0.05,1.02,0.0,0.0,0.05,36.49,30.6,83.9,11.01,7.94,72.1,4.1,0.51,12.5,0.0,0.0,0.0,0.77,0.77,0.07,0.07,1.66,0.77,3.07,0.0,1.92,10.24,4.74,46.3,1.15,0.38,33.3,0.0,0.0,1.66,0.0,17.03,216.9,12.7,11.39,152.1,1.7,0.64,0.0,0.13,0.0,"July 23, 2002",23.0,Lille,Portugal,Defender,,,,,,,,
1,448102,2025/26,France,Ligue 1,willian pacho,/football/player/sc-448102/willian-pacho,22.0,1825.0,0.0,0.05,-0.05,0.39,0.05,0.0,0.12,0.0,0.05,-0.05,0.39,0.05,0.0,0.12,80.38,76.44,95.1,3.99,3.35,84.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.02,0.02,1.97,1.18,5.38,0.49,3.06,3.21,2.27,70.8,3.06,1.73,56.5,0.0,0.0,0.3,0.0,12.92,118.9,9.2,5.82,46.7,0.4,0.0,0.0,0.0,0.0,"October 16, 2001",24.0,Paris SG,Ecuador,Defender,,,,,,,,
1,221095,2025/26,France,Ligue 1,jonathan clauss,/football/player/sc-221095/jonathan-clauss,28.0,2363.0,0.04,0.05,-0.01,0.88,0.23,4.35,0.06,0.04,0.05,-0.01,0.88,0.23,4.35,0.06,45.86,37.17,81.1,14.82,10.06,67.9,3.5,1.03,29.4,0.19,0.23,0.19,2.21,1.22,0.24,0.17,2.36,1.75,5.26,0.19,2.32,6.93,4.0,57.7,0.88,0.34,39.1,0.0,0.0,0.8,0.04,11.01,125.6,11.4,7.2,78.7,0.4,0.15,0.0,0.42,0.08,"September 25, 1992",33.0,Nice,France,Defender,,,,,,,,
1,149736,2025/26,France,Ligue 1,chancel mbemba,/football/player/sc-149736/chancel-mbemba,13.0,953.0,0.0,0.05,-0.05,0.66,0.28,0.0,0.07,0.0,0.05,-0.05,0.66,0.28,0.0,0.07,62.52,57.42,91.8,6.89,5.01,72.6,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.01,0.01,1.32,1.32,3.59,0.38,6.14,3.87,1.98,51.2,2.64,1.89,71.4,0.28,0.0,0.94,0.0,13.6,136.2,10.0,8.03,88.7,1.0,0.19,0.0,0.0,0.0,"August 08, 1994",31.0,Lille,Congo DR,Defender,,,,,,,,
1,531003,2025/26,France,Ligue 1,quentin merlin,/football/player/sc-531003/quentin-merlin,30.0,2262.0,0.04,0.05,-0.01,0.95,0.28,4.17,0.05,0.04,0.05,-0.01,0.95,0.28,4.17,0.05,47.82,37.48,78.4,16.71,11.98,71.7,4.1,0.64,15.5,0.12,0.16,0.16,1.51,0.99,0.16,0.14,1.91,1.23,4.42,0.44,2.03,6.45,3.5,54.3,1.23,0.52,41.9,0.04,0.0,0.68,0.0,12.33,132.8,10.8,6.76,66.1,0.4,0.44,0.0,0.36,0.08,"May 16, 2002",23.0,Rennes,France,Defender,,,,,,,,
1,606371,2025/26,France,Ligue 1,arthur avom,/football/player/sc-606371/arthur-avom,28.0,2002.0,0.04,0.05,-0.0,0.9,0.22,5.0,0.05,0.04,0.05,-0.0,0.9,0.22,5.0,0.05,54.4,45.76,84.1,15.69,11.42,72.8,1.26,0.36,28.6,0.22,0.04,0.04,1.35,1.08,0.14,0.12,2.43,1.26,5.35,0.13,1.08,8.68,4.9,56.5,1.03,0.4,39.1,0.13,0.0,0.94,0.04,16.5,188.9,11.4,8.27,93.4,0.5,0.13,0.0,0.22,0.0,,,,,,,,,,,,,
1,550840,2025/26,France,Ligue 1,warren zaire emery,/football/player/sc-550840/warren-zaire-emery,30.0,2366.0,0.08,0.05,0.03,0.68,0.23,11.11,0.07,0.08,0.05,0.03,0.68,0.23,11.11,0.07,75.39,70.75,93.8,23.09,20.69,89.6,0.53,0.08,14.3,0.23,0.15,0.15,1.52,1.33,0.13,0.13,1.79,0.46,5.4,0.23,0.8,7.23,3.54,48.9,0.84,0.61,72.7,0.11,0.0,1.26,0.0,23.32,250.4,10.7,10.77,93.9,0.3,0.15,0.04,0.46,0.08,"March 08, 2006",20.0,Paris SG,France,Midfielder,,,,,,,,
1,477711,2025/26,France,Ligue 1,joris chotard,/football/player/sc-477711/joris-chotard,29.0,2505.0,0.07,0.05,0.03,0.86,0.25,8.33,0.05,0.07,0.05,0.03,0.86,0.25,8.33,0.05,38.01,30.57,80.4,10.2,6.57,64.4,0.72,0.04,5.0,0.11,0.04,0.04,0.29,0.11,0.04,0.03,2.19,1.51,4.13,0.36,3.09,4.99,2.73,54.7,1.54,0.93,60.5,0.07,0.0,1.01,0.0,6.61,65.7,9.9,3.34,33.3,0.4,0.11,0.0,0.07,0.04,"September 24, 2001",24.0,Brest,France,Midfielder,,,,,,,,
1,634871,2025/26,France,Ligue 1,kyllian antonio,/football/player/sc-634871/kyllian-antonio,2.0,120.0,0.0,0.04,-0.04,0.75,0.0,0.0,0.06,0.0,0.04,-0.04,0.75,0.0,0.0,0.06,39.75,34.5,86.8,11.25,8.25,73.3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,3.0,3.75,7.5,0.0,9.0,9.0,7.5,83.3,3.0,0.75,25.0,0.75,0.0,0.75,0.0,12.75,195.3,15.3,10.5,139.1,9.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1,437858,2025/26,France,Ligue 1,vitinha,/football/player/sc-437858/vitinha,27.0,2008.0,0.04,0.04,0.0,1.43,0.45,3.12,0.03,0.04,0.04,0.0,1.43,0.45,3.12,0.03,116.62,109.5,93.9,32.41,27.65,85.3,0.31,0.09,28.6,0.76,0.31,0.27,1.52,0.94,0.17,0.14,1.03,1.12,5.83,0.22,0.99,4.12,2.42,58.7,0.22,0.13,60.0,0.09,0.0,0.58,0.0,36.04,386.1,10.7,17.03,175.8,0.5,0.58,0.0,0.49,0.09,"February 13, 2000",26.0,Paris SG,Portugal,Midfielder,,,,,,,,
1,538078,2025/26,France,Ligue 1,nathan ngoy,/football/player/sc-538078/nathan-ngoy,26.0,2134.0,0.04,0.04,-0.0,0.76,0.21,5.56,0.06,0.04,0.04,-0.0,0.76,0.21,5.56,0.06,62.0,56.72,91.5,5.9,4.18,70.7,0.21,0.04,20.0,0.08,0.08,0.04,0.17,0.08,0.04,0.04,1.27,1.43,4.22,0.55,3.63,3.21,1.94,60.5,1.81,1.05,58.1,0.38,0.04,0.67,0.0,14.3,145.6,10.2,8.22,78.6,0.4,0.17,0.0,0.04,0.0,"June 10, 2003",22.0,Lille,Belgium,Defender,,,,,,,,
1,631935,2025/26,France,Ligue 1,abdoulaye faye,/football/player/sc-631935/abdoulaye-faye,14.0,1204.0,0.0,0.04,-0.04,0.6,0.15,0.0,0.07,0.0,0.04,-0.04,0.6,0.15,0.0,0.07,53.15,46.12,86.8,6.13,4.41,72.0,0.22,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.01,0.01,1.94,1.79,3.29,0.3,5.68,5.53,3.44,62.2,4.04,2.39,59.3,0.52,0.0,1.64,0.07,11.66,104.5,9.0,5.38,35.7,0.5,0.0,0.0,0.0,0.0,"September 22, 2004",21.0,Lorient,Senegal,Defender,,,,,,,,
1,86813,2025/26,France,Ligue 1,aissa mandi,/football/player/sc-86813/aissa-mandi,26.0,2157.0,0.04,0.04,-0.0,0.46,0.08,9.09,0.1,0.04,0.04,-0.0,0.46,0.08,9.09,0.1,70.85,65.13,91.9,10.39,7.93,76.3,0.29,0.04,14.3,0.33,0.0,0.0,0.33,0.33,0.05,0.05,1.34,1.71,4.67,0.58,4.05,3.25,2.09,64.1,2.21,1.59,71.7,0.29,0.0,0.63,0.0,17.19,185.1,10.8,9.26,104.7,0.5,0.04,0.0,0.0,0.0,"October 22, 1991",34.0,Lille,Algeria,Defender,,,,,,,,
1,564920,2025/26,France,Ligue 1,jacques ekomie,/football/player/sc-564920/jacques-ekomie,29.0,2035.0,0.0,0.04,-0.04,0.4,0.13,0.0,0.11,0.0,0.04,-0.04,0.4,0.13,0.0,0.11,30.74,24.94,81.2,6.77,4.6,68.0,2.39,0.35,14.8,0.04,0.0,0.0,0.53,0.53,0.05,0.05,2.3,1.24,4.42,0.35,1.99,7.52,4.11,54.7,2.03,1.02,50.0,0.13,0.0,1.19,0.04,9.86,118.5,12.0,6.77,83.4,0.5,0.04,0.0,0.22,0.0,"August 19, 2003",22.0,Angers,Gabon,Defender,,,,,,,,
1,437497,2025/26,France,Ligue 1,melvin bard,/football/player/sc-437497/melvin-bard,27.0,2247.0,0.08,0.04,0.04,0.6,0.2,13.33,0.07,0.08,0.04,0.04,0.6,0.2,13.33,0.07,43.18,35.01,81.1,10.13,6.29,62.1,3.0,0.6,20.0,0.12,0.04,0.04,0.6,0.56,0.06,0.05,2.04,1.36,5.09,0.52,2.72,6.41,3.56,55.6,2.28,1.08,47.4,0.12,0.0,0.96,0.04,12.58,133.7,10.6,7.69,73.9,0.4,0.12,0.0,0.12,0.0,"November 06, 2000",25.0,Nice,France,Defender,,,,,,,,
1,202127,2025/26,France,Ligue 1,younes namli,/football/player/sc-202127/younes-namli,12.0,321.0,0.0,0.04,-0.04,1.12,0.0,0.0,0.04,0.0,0.04,-0.04,1.12,0.0,0.0,0.04,31.68,22.43,70.8,12.62,7.01,55.6,2.52,0.84,33.3,0.0,0.28,0.28,0.84,0.56,0.17,0.16,2.52,1.68,7.29,0.0,0.84,10.09,5.05,50.0,2.8,0.84,30.0,0.56,0.0,2.24,0.0,14.58,171.8,11.8,7.01,67.9,2.7,0.56,0.0,0.0,0.0,,,,,,,,,,,,,
1,608246,2025/26,France,Ligue 1,lilian raolisoa,/football/player/sc-608246/lilian-raolisoa,29.0,1705.0,0.11,0.04,0.06,0.84,0.26,12.5,0.05,0.11,0.04,0.06,0.84,0.26,12.5,0.05,30.3,22.43,74.0,8.5,6.07,71.4,3.22,0.63,19.7,0.11,0.21,0.21,1.11,0.74,0.13,0.12,2.38,0.74,3.8,0.16,2.22,7.71,3.91,50.7,2.59,1.48,57.1,0.16,0.0,1.37,0.0,9.98,121.5,12.2,6.28,71.9,0.6,0.37,0.05,0.26,0.05,"June 16, 2000",25.0,Angers,France,Defender,,,,,,,,
1,436658,2025/26,France,Ligue 1,jessy deminguet,/football/player/sc-436658/jessy-deminguet,29.0,1841.0,0.05,0.04,0.01,0.73,0.29,6.67,0.06,0.05,0.04,0.01,0.73,0.29,6.67,0.06,39.89,35.64,89.3,9.04,6.75,74.6,0.88,0.05,5.6,0.15,0.0,0.0,0.15,0.15,0.03,0.03,2.05,0.83,3.37,0.1,0.78,7.58,3.81,50.3,1.37,0.59,42.9,0.2,0.0,1.17,0.0,13.15,130.7,9.9,4.2,31.1,0.4,0.05,0.0,0.0,0.0,"January 07, 1998",28.0,Metz,France,Midfielder,,,,,,,,
1,204727,2025/26,France,Ligue 1,malang sarr,/football/player/sc-204727/malang-sarr,29.0,2610.0,0.0,0.04,-0.04,0.69,0.17,0.0,0.06,0.0,0.04,-0.04,0.69,0.17,0.0,0.06,61.93,54.97,88.8,11.07,8.45,76.3,0.34,0.17,50.0,0.03,0.03,0.03,0.14,0.1,0.02,0.02,1.9,2.28,5.24,0.76,4.24,4.0,2.62,65.5,2.72,1.62,59.5,0.07,0.0,0.59,0.0,13.07,136.0,10.4,7.21,75.3,0.4,0.1,0.0,0.03,0.0,"January 23, 1999",27.0,Lens,France,Defender,,,,,,,,
1,88754,2025/26,France,Ligue 1,geoffrey kondogbia,/football/player/sc-88754/geoffrey-kondogbia,10.0,593.0,0.0,0.04,-0.04,0.61,0.15,0.0,0.07,0.0,0.04,-0.04,0.61,0.15,0.0,0.07,65.56,57.22,87.3,12.75,8.5,66.7,0.15,0.0,0.0,0.15,0.0,0.0,0.3,0.3,0.04,0.04,2.12,1.52,7.74,0.76,2.58,7.28,4.25,58.3,2.43,1.37,56.3,0.46,0.0,1.82,0.0,14.57,140.7,9.7,6.98,59.4,1.3,0.0,0.0,0.0,0.0,"February 15, 1993",33.0,Marseille,Central African Republic,Midfielder,,,,,,,,
1,711491,2025/26,France,Ligue 1,enzo koffi,/football/player/sc-711491/enzo-koffi,11.0,310.0,0.0,0.04,-0.04,1.16,0.58,0.0,0.04,0.0,0.04,-0.04,1.16,0.58,0.0,0.04,35.71,26.13,73.2,11.03,6.39,57.9,6.1,0.87,14.3,0.0,0.0,0.0,0.87,0.87,0.12,0.11,3.77,2.03,5.52,0.0,3.19,17.13,8.42,49.2,2.32,1.45,62.5,0.29,0.0,2.61,0.0,15.68,177.8,11.3,12.19,142.6,3.4,0.58,0.0,0.0,0.0,,,,,,,,,,,,,
1,210494,2025/26,France,Ligue 1,nayef aguerd,/football/player/sc-210494/nayef-aguerd,16.0,1399.0,0.06,0.04,0.02,0.64,0.06,10.0,0.06,0.06,0.04,0.02,0.64,0.06,10.0,0.06,83.82,77.84,92.9,9.2,6.95,75.5,0.13,0.0,0.0,0.13,0.0,0.0,0.19,0.19,0.02,0.02,1.42,1.35,4.76,0.51,4.82,3.73,1.87,50.0,3.86,2.44,63.3,0.26,0.0,1.35,0.0,20.52,205.5,10.0,10.1,99.2,0.6,0.13,0.06,0.06,0.0,"March 30, 1996",30.0,Marseille,Morocco,Defender,,,,,,,,
1,202675,2025/26,France,Ligue 1,benjamin pavard,/football/player/sc-202675/benjamin-pavard,25.0,1837.0,0.05,0.04,0.01,0.54,0.15,9.09,0.07,0.05,0.04,0.01,0.54,0.15,9.09,0.07,63.79,58.45,91.6,11.91,9.85,82.7,0.69,0.1,14.3,0.05,0.1,0.05,0.54,0.44,0.05,0.05,1.37,1.18,3.04,0.54,3.43,3.18,1.96,61.5,3.09,1.96,63.5,0.24,0.0,0.93,0.1,13.47,127.8,9.5,6.81,57.1,0.4,0.0,0.0,0.15,0.0,"March 28, 1996",30.0,Marseille,France,Defender,,,,,,,,
1,607126,2025/26,France,Ligue 1,malick mbaye,/football/player/sc-607126/malick-mbaye,5.0,299.0,0.0,0.04,-0.04,0.6,0.3,0.0,0.06,0.0,0.04,-0.04,0.6,0.3,0.0,0.06,28.9,23.78,82.3,6.92,6.32,91.3,2.41,0.6,25.0,0.0,0.0,0.0,0.6,0.6,0.06,0.06,3.01,0.9,4.21,0.0,2.71,8.73,4.82,55.2,2.71,0.3,11.1,0.3,0.0,0.9,0.0,12.34,140.8,11.4,7.83,74.1,2.8,0.3,0.0,0.3,0.0,,,,,,,,,,,,,
1,466404,2025/26,France,Ligue 1,andrew omobamidele,/football/player/sc-466404/andrew-omobamidele,22.0,1152.0,0.08,0.04,0.04,0.23,0.16,33.33,0.17,0.08,0.04,0.04,0.23,0.16,33.33,0.17,82.66,79.84,96.6,2.58,1.88,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.55,1.09,4.14,0.55,4.61,2.19,1.25,57.1,2.34,1.8,76.7,0.31,0.0,0.78,0.0,18.75,197.0,10.5,10.63,110.1,0.8,0.0,0.0,0.0,0.0,"June 23, 2002",23.0,Strasbourg,Republic of Ireland,Defender,,,,,,,,
1,141109,2025/26,France,Ligue 1,gautier lloris,/football/player/sc-141109/gautier-lloris,26.0,2130.0,0.04,0.04,0.0,0.46,0.17,9.09,0.08,0.04,0.04,0.0,0.46,0.17,9.09,0.08,59.41,54.46,91.7,5.32,3.3,61.9,0.04,0.0,0.0,0.0,0.04,0.0,0.17,0.13,0.02,0.02,1.52,1.65,2.87,0.72,5.54,3.72,2.28,61.4,3.8,2.75,72.2,0.08,0.04,1.1,0.04,16.9,174.1,10.3,8.28,85.0,0.4,0.0,0.0,0.04,0.0,"July 18, 1995",30.0,Le Havre,France,Defender,,,,,,,,
1,476894,2025/26,France,Ligue 1,johann lepenant,/football/player/sc-476894/johann-lepenant,25.0,1995.0,0.0,0.04,-0.04,0.86,0.23,0.0,0.05,0.0,0.04,-0.04,0.86,0.23,0.0,0.05,34.06,27.7,81.3,10.87,7.76,71.4,1.4,0.45,32.3,0.09,0.05,0.0,1.35,0.77,0.08,0.05,3.43,1.08,5.64,0.14,0.86,10.65,5.77,54.2,1.17,0.5,42.3,0.18,0.0,1.22,0.0,8.71,83.7,9.6,4.15,38.8,0.4,0.0,0.0,0.27,0.0,"October 22, 2002",23.0,Nantes,France,Midfielder,,,,,,,,
1,534074,2025/26,France,Ligue 1,ali youssif,/football/player/sc-534074/ali-youssif,11.0,933.0,0.0,0.04,-0.04,0.58,0.1,0.0,0.07,0.0,0.04,-0.04,0.58,0.1,0.0,0.07,38.1,31.74,83.3,5.88,3.18,54.1,0.1,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.02,0.02,1.06,1.93,3.28,0.48,5.59,3.47,2.32,66.7,2.7,2.03,75.0,0.29,0.0,0.96,0.1,9.16,88.5,9.7,4.63,41.2,0.9,0.19,0.0,0.0,0.0,,,,,,,,,,,,,
1,219268,2025/26,France,Ligue 1,ayumu seko,/football/player/sc-219268/ayumu-seko,28.0,2445.0,0.0,0.04,-0.04,0.63,0.22,0.0,0.06,0.0,0.04,-0.04,0.63,0.22,0.0,0.06,39.46,33.42,84.7,8.87,5.63,63.5,0.18,0.04,20.0,0.04,0.0,0.0,0.37,0.37,0.04,0.04,1.55,1.21,3.09,0.26,3.94,3.75,2.28,60.8,1.88,1.25,66.7,0.15,0.0,0.96,0.0,10.12,102.3,10.1,5.34,53.6,0.4,0.07,0.0,0.07,0.0,"June 07, 2000",25.0,Le Havre,Japan,Defender,,,,,,,,
1,140040,2025/26,France,Ligue 1,przemyslaw frankowski,/football/player/sc-140040/przemyslaw-frankowski,19.0,1215.0,0.07,0.04,0.04,0.67,0.22,11.11,0.06,0.07,0.04,0.04,0.67,0.22,11.11,0.06,48.3,39.63,82.1,17.19,12.67,73.7,4.22,0.96,22.8,0.0,0.15,0.0,2.15,1.56,0.19,0.13,2.96,0.59,3.85,0.07,2.59,6.89,4.0,58.1,0.89,0.52,58.3,0.37,0.0,0.96,0.07,9.85,85.8,8.7,4.52,20.9,0.3,0.07,0.0,0.07,0.07,"April 12, 1995",30.0,Rennes,Poland,Midfielder,,,,,,,,
1,464984,2025/26,France,Ligue 1,fredrik oppegard,/football/player/sc-464984/fredrik-oppegard,23.0,1248.0,0.0,0.04,-0.04,0.72,0.14,0.0,0.05,0.0,0.04,-0.04,0.72,0.14,0.0,0.05,28.34,22.57,79.6,9.95,7.14,71.7,2.74,0.65,23.7,0.07,0.0,0.0,0.79,0.65,0.07,0.05,1.88,0.94,3.25,0.36,1.73,5.12,3.1,60.6,0.72,0.0,0.0,0.07,0.07,0.58,0.0,8.44,119.7,14.2,5.77,82.2,1.0,0.14,0.0,0.07,0.0,"August 07, 2002",23.0,Auxerre,Norway,Defender,,,,,,,,
1,218218,2025/26,France,Ligue 1,wout faes,/football/player/sc-218218/wout-faes,12.0,1019.0,0.0,0.04,-0.04,0.44,0.09,0.0,0.08,0.0,0.04,-0.04,0.44,0.09,0.0,0.08,59.26,54.67,92.3,9.1,6.98,76.7,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,1.06,1.24,3.18,0.79,4.68,2.83,1.41,50.0,3.27,1.94,59.5,0.26,0.0,1.15,0.0,14.66,145.6,9.9,7.86,86.0,1.0,0.0,0.0,0.0,0.0,"April 03, 1998",28.0,Monaco,Belgium,Defender,,,,,,,,
